atclNo,cortarNo,rletTpCd,tradTpCd,flrInfo,prc,spc1,spc2,direction,lat,lng,atclFetrDesc,tagList,rltrNm
2107107413,1168011300,A02,A1,10/10,90000,157,74,남향,37.473765,127.107157,남향 조망굿 관리비저렴 세낀매매,"['4년이내', '화장실두개', '대형평수']",스마일공인중개사사무소
2107038862,1168011200,D02,A1,5/5,80000,209,161,서향,37.472025,127.096009,상가 투자 원하시는 분 실입주 불가,"['4년이내', '주차가능', '총5층', '서향']",좋은집공인중개사사무소
2106919373,1168011300,A02,A1,5/10,80000,153,74,남향,37.474159,127.107065,"대중교통편리,초등학교인근,신혼부부 선호도높음","['4년이내', '화장실두개', '대형평수', '방세개']",헬리오청구공인중개사사무소
2107120676,1168011300,A02,A1,8/10,81000,142,73,동향,37.474159,127.107065,"트인뷰, 풀에어컨, 관리비저렴","['4년이내', '화장실두개', '대형평수']",스마일공인중개사사무소
2107125762,1168010100,D02,A1,11/20,43000,141,71,북향,37.50164,127.035645,역삼역 초역세권 실입주 가능한 귀한 매매 물건,"['25년이내', '역세권', '주차가능', '엘리베이터']",삼성공인중개사사무소
2107007072,1168010800,D02,A1,-1/5,70000,135,78,동향,37.511648,127.041799,초역세권 사무실 경사지 외관상1층 절충된 파격가격 특급매물,"['2년이내', '역세권', '급매', '주차가능']",주식회사강남부동산중개
2107004315,1168010100,C02,A1,4/4,65000,271,75,남서향,37.493884,127.041978,,"['25년이내', '대형평수', '탑층', '방두개']",서울공인중개사사무소
2106957191,1168010500,D02,A1,-1/23,100000,246,64,남향,37.508015,127.055416,삼성동 귀한상가매매 토지거래허가 필요없는 매물입니다.,"['15년이내', '주차가능', '남향']",삼성공인중개사사무소
2106809009,1168011200,D01,A1,7/10,81000,140,70,서향,37.472618,127.102955,"전용21 실입주가능, 강남 지식산업센터 매매","['4년이내', '주차가능', '서향']",(주)부동산중개법인파트너스
2106747598,1168011200,E04,A1,2/10,85000,140,70,,37.472618,127.102955,전 호실 중 단 4개 야외테라스가 있는 예쁜 사무실,"['4년이내', '주차가능', '엘리베이터', '화재경보기']",주식회사 위더스부동산중개법인 강남분사무소
2106667967,1168011500,D02,A1,-2/20,95000,254,150,남향,37.487327,127.103144,"초역세권,항아리상권,우량세입자,지하철연결","['25년이내', '역세권', '주차가능', '엘리베이터']",부동산랜드공인중개사사무소
2106667557,1168011500,D02,A1,-2/20,65000,242,102,동향,37.487327,127.103144,"오피스상권으로 꾸준한 매출,투자추천,역세권","['25년이내', '역세권', '주차가능', '엘리베이터']",부동산랜드공인중개사사무소
2106661646,1168011500,D01,A1,7/20,43000,135,79,동향,37.486772,127.103178,,"['25년이내', '역세권', '주차가능', '엘리베이터']",부동산모닝공인중개사
2106714850,1168010100,D02,A1,2/5,60000,162,67,남향,37.499225,127.048457,"도성초학군,학원추천,교육관련사업 최고입지","['25년이내', '주차가능', '엘리베이터', '총5층']",다온공인중개사사무소
2106707667,1168010500,D02,A1,-1/23,100000,246,64,남향,37.508015,127.055416,아파트지하상가,"['15년이내', '주차가능', '남향']",미광공인중개사사무소
2106554732,1168010100,A02,A1,3/9,95000,170,87,남향,37.4936,127.043236,갭투자 리모델링된 호실 전용넓은 오피스텔,"['10년이내', '화장실두개', '대형평수', '방세개']",뉴탑공인중개사사무소
2106561830,1168010100,D02,A1,1/15,85000,134,95,,37.502933,127.04857,오피스 및 오피스텔  배후지상권 선릉역 저렴한 1층상가 구분건물매매,"['25년이내', '역세권', '1층']",원공인중개사사무소
2107077407,1168011800,A02,A1,고/10,60000,133,62,서향,37.487313,127.051446,40 올수리 바닥난방 세안고,"['25년이내', '올수리', '역세권', '대형평수']",타워미래공인중개사사무소
2107094886,1168011800,A02,A1,중/10,60000,133,62,서향,37.487313,127.051446,세안고 갭투자가능 올수리,"['25년이내', '올수리', '역세권', '대형평수']",조은부동산중개사무소
2106332446,1168011500,A02,A1,7/20,55000,147,73,동향,37.488077,127.101892,주차가 편리하고 업무환경 좋은 수서역 사무용오피스텔입니다.,"['25년이내', '역세권', '대형평수', '방한개']",현대벤쳐빌공인중개사사무소
2106333834,1168010600,D02,A1,-1/3,100000,245,136,남서향,37.500835,127.060988,"대치동 학원가,대로변 건물, 가성비 좋음.","['25년이내', '주차가능', '총3층', '남서향']",현대공인중개사
2106307744,1168011100,D02,A1,2/8,70000,196,100,남향,37.465783,127.101199,상업지구 내 대로변 상가입니다. ,"['10년이내', '주차가능', '남향']",세곡바로공인중개사사무소
2106250726,1168010600,D02,A1,전체층/22,77000,158,80,남향,37.504155,127.052116,공실없음 월세 받기 좋은 매물,"['25년이내', '역세권', '관리비10만원이하', '주차가능']",(주)삼성종합부동산중개법인
2106191476,1168010100,D02,A1,-1/6,72000,185,144,동향,37.506265,127.046052,,"['2년이내', '역세권', '주차가능', '동향']",위모공인중개사사무소
2106237925,1168010100,D02,A1,2/4,100000,158,158,,37.499431,127.043905,"코너상가,재건축시 임대수익 기대, 왕복 8차선","['25년이상', '총4층']",드림부동산공인중개사
2106192761,1168010400,E03,A1,-,44310,698,0,,37.519873,127.044072,도로부지 저가 매매,['역세권'],동우공인중개사
2106253308,1168010100,D02,A1,-1/6,72000,185,144,동향,37.506265,127.046052,,"['2년이내', '역세권', '주차가능', '동향']",서강공인중개사사무소
2106158000,1168010500,D02,A1,-1/6,70000,144,131,북서향,37.515088,127.049087,,"['2년이내', '역세권', '주차가능', '북서향']",서강공인중개사사무소
2106158999,1168010500,D01,A1,-1/6,70000,144,131,북서향,37.515088,127.049087,,"['2년이내', '역세권', '주차가능', '북서향']",서강공인중개사사무소
2105929312,1168011300,A02,A1,7/10,82000,142,73,남향,37.474159,127.107065,강남훼미리 오피스텔 로얄층 ,"['4년이내', '화장실두개', '대형평수', '방세개']",늘공인중개사사무소
2106036748,1168010800,D02,A1,-1/22,80000,237,116,동향,37.511627,127.036326,언주로 대로변 주상복합 지하 아케이드 상가 매매,"['25년이내', '주차가능', '엘리베이터', '동향']",강남넘버투부동산공인중개사사무소
2105943973,1168010100,D02,A1,4/7,85000,132,43,남향,37.496549,127.041976,꼬마빌딩 구분되어있는 굉장히 귀한 매물입니다,"['25년이내', '주차가능', '엘리베이터', '남향']",삼성공인중개사사무소
2105875946,1168011300,A02,A1,6/10,83000,153,74,동향,37.474159,127.107065,율현초등학교 옆이며  율현공원이 있습니다,"['4년이내', '대형평수', '화장실두개', '중층']",강남SRT 공인중개사사무소
2105884634,1168010100,C03,A1,4/-6,35000,490,803,동향,37.499929,127.042465,신축급 투룸 역삼역 도보8분 올리모델링 완료된 옵션가득한 귀한호실,"['10년이내', '방두개', '화장실한개', '주차가능']",디오빌공인중개사사무소
2105922888,1168011300,A02,A1,8/10,79000,142,73,남동향,37.474159,127.107065,착한가격 아주로얄층 조용한 뷰가 예쁜 우리집 마지막으로 추천매물,"['4년이내', '화장실두개', '대형평수', '방세개']",럭키부동산
2106473209,1168011300,A02,A1,중/10,79000,153,74,남향,37.474159,127.107065,조용한동호수 3룸. 화2 풀에어컨 4대. 자곡사거리 호재 신축 아파텔,"['4년이내', '화장실두개', '대형평수']",강남114부동산공인중개사사무소
2106462835,1168010100,D02,A1,-1/21,31000,191,63,북동향,37.491738,127.032363,적은 투자로 수익 보장이 확실하게 되는 물건임,"['25년이내', '주차가능', '엘리베이터', '북동향']",(주)지앤지부동산중개
2106174571,1168011300,A02,A1,고/9,60000,133,58,동향,37.474753,127.107003,"조용한 위치,SRT 운행중 GTX공사중","['4년이내', '대형평수', '화장실한개']",테라스공인중개사사무소
2105515502,1168011200,E04,A1,8/10,98000,137,68,,37.472618,127.102955,강남 지식산업센터 투자용 물건입니다,"['4년이내', '주차가능']",맨투맨공인중개사사무소
2105502807,1168010100,D01,A1,11/20,43000,141,71,,37.50164,127.035645,"역삼역 3분, 인테리어 깔끔한 사무실, 입주가능 한 곳","['25년이내', '역세권', '주차가능', '엘리베이터']",역삼플러스공인중개사사무소
2105146177,1168010100,D02,A1,2/15,100000,185,115,동향,37.491052,127.032692,수익율 구분상가매매 주차2대가능,"['25년이내', '주차가능', '동향']",삼일부동산중개
2105746915,1168011300,A02,A1,고/10,79000,153,74,동향,37.474159,127.107065,"초급매, 세안고, 실22P, 동향","['4년이내', '급매', '대형평수']",천지공인중개사사무소
2105080775,1168011500,D02,A1,-2/8,43000,228,160,남향,37.486974,127.103437,"급매,근생시설,입점가능, 내부가 넓고 저렴","['25년이내', '역세권', '급매', '주차가능']",부동산랜드공인중개사사무소
2105665141,1168010500,D01,A1,6/20,55000,149,77,동향,37.508484,127.056609,삼성역5분 코엑스인근 A급사무실 사옥사무실 한전호재 투자용굿,"['25년이내', '주차가능', '엘리베이터', 'CCTV']",원스타부동산중개
2104909092,1168011300,A02,A1,5/10,83000,142,73,남향,37.474159,127.107065,,"['4년이내', '화장실두개', '대형평수', '방세개']",이나윤공인중개사사무소
2104885917,1168011300,A02,A1,6/10,80000,153,74,남향,37.474159,127.107065,"착한 가격 관리비저렴, 풀에어컨, 초등학교 인근","['4년이내', '화장실두개', '대형평수']",스마일공인중개사사무소
2105552927,1168010100,B02,A1,저/3,96200,145,48,남향,37.507238,127.039545,"남향. 신축. 선정릉역,언주역 도보6분. 선릉역,역삼역 도보10분","['2년이내', '역세권', '복층', '대형평수']",아트랜드공인중개사사무소
2104827568,1168010400,D01,A1,3/10,70000,219,113,동향,37.526434,127.049678,"매장,샾,체육시설,사무실등","['10년이내', '주차가능', '엘리베이터', '천장에어컨']",사람과집공인중개사사무소
2105282129,1168011300,A02,A1,고/10,79000,142,73,남향,37.474159,127.107065,"전세 낀 매물, 수서역세권개발 시작되는곳","['4년이내', '화장실두개', '대형평수']",테라스공인중개사사무소
2104746662,1168010300,C02,A1,4/5,50000,163,72,남동향,37.474108,127.050383,급매물 입주가능  개포택지주단위계획구역 지분대비컨디션좋음,"['25년이내', '급매', '화장실두개', '대형평수']",개포이레공인중개사사무소
2104724057,1168011500,D02,A1,3/5,90000,169,86,북서향,37.488372,127.102479,수서역 대로변 바로 이면에 위치 유동인구 가장많은 지역,"['25년이내', '역세권', '주차가능', '총5층']",비상공인중개사사무소
2104689558,1168010100,D01,A1,11/20,43000,141,71,,37.50164,127.035645,"역삼역 실사용 가능,임대수익률 4.5프로,사무실","['25년이내', '역세권', '관리비10만원이하', '주차가능']",성지현대공인중개사사무소
2104653282,1168011800,D02,A1,-1/30,80000,171,92,동향,37.486521,127.051889,도곡동 타워팰리스 타운내 변하지 않는 상권,"['25년이내', '역세권', '주차가능', '동향']",리더스공인중개사사무소
2104464518,1168010500,D02,A1,-1/6,70000,144,131,북서향,37.515088,127.049087,삼성동 신축상가 분양 및 임대,"['2년이내', '역세권', '주차가능', '북서향']",중앙공인중개사사무소
2104418642,1168010400,E03,A1,-,38280,602,0,,37.518759,127.04335,강남구청역과 영동고등학교 사이의 연립주택 부근의 도로 부지,['역세권'],동우공인중개사
2104436018,1168011200,D02,A1,5/5,82000,314,161,남향,37.472025,127.096009,전용48.73Py 수익형구분상가 아주좋은가격,"['4년이내', '주차가능', '엘리베이터', '총5층']",대명공인중개사사무소
2104429308,1168010100,C02,A1,3/5,87000,144,93,남향,37.493618,127.042685,엘리베이터 지하주차장 내부상태양호 전용30p 넓게빠진 정남향집 입니다.,"['25년이내', '화장실두개', '대형평수']",더(THE)큰공인중개사사무소
2104503973,1168010600,D02,A1,-1/3,100000,247,136,서향,37.500835,127.060988,대로변건물로 가시성 굿 개발인접지 입구 급매매 조율,"['25년이내', '급매', '주차가능', '총3층']",대치현대공인중개사사무소
2104252539,1168011500,D02,A1,-2/20,60000,205,87,,37.487327,127.103144,귀한 매물 월세 잘 나오는 상가,"['25년이내', '역세권']",센터부동산
2104760136,1168011800,A02,A1,고/10,60000,133,62,서향,37.487313,127.051446,40 올수리 바닥난방 입주가능,"['25년이내', '올수리', '역세권', '대형평수']",타워미래공인중개사사무소
